address,longitude,city,state,zip,Store,latitude
102 S 9th St MO 65201,-92.327397,Columbia,MO,65201,Panera Bread,38.9502780
3709 S Providence Rd MO 65203,-92.336369,Columbia,MO,65203,Panera Bread,38.909391
100 Brickton Road MO 65203,-92.295255,Columbia,MO,65201,Panera Bread,38.9482322
598 Columbia Dr MO 65203,-92.397824,Columbia,MO,65203,Panera Bread,38.882483
2300 Bernadette Dr MO 65203,-92.373859,Columbia,MO,65203,Panera Bread,38.9637674
2214 Missouri Boulevard MO 65109,-92.208886,Jefferson City,MO,65109,Panera Bread,38.58182810
2226 Missouri Blvd MO 65109,-92.209967,Jefferson City,MO,65109,Panera Bread,38.58198311
2405 Grand Blvd MO 64108,-94.581458,Kansas City,MO,64108,Panera Bread,39.08170814
4117 Mill St MO 64111,-94.591793,Kansas City,MO,64111,Panera Bread,39.0520115
4700 Pennsylvania Ave MO 64112,-94.594087,Kansas City,MO,64112,Panera Bread,39.0420520000000116
6301 Brookside Plaza MO 64113,-94.590466,Kansas City,MO,64113,Panera Bread,39.01358117
1128 W 103rd St MO 64114,-94.606306,Kansas City,MO,64114,Panera Bread,38.94229418
311 Ne Englewood Road MO 64118,-94.578892,Kansas City,MO,64118,Panera Bread,39.19412800000000619
6145 Nw Barry Rd MO 64154,-94.649734,Kansas City,MO,64154,Panera Bread,39.24664120
8580 Church Rd MO 64157,-94.459807,Kansas City,MO,64158,Panera Bread,39.24640221
3175 West Broadway Boulevard MO 65301,-93.266377,Sedalia,MO,65301,Panera Bread,38.70882530
3171 W Broadway Blvd MO 65301,-93.266285,Sedalia,MO,65301,Panera Bread,38.70878331
500 S National Ave MO 65802,-93.275894,Springfield,MO,65802,Panera Bread,37.20481334
2535 N Kansas Expy MO 65803,-93.312125,Springfield,MO,65803,Panera Bread,37.24361235
1949 E Sunshine St MO 65804,-93.259027,Springfield,MO,65804,Panera Bread,37.18275236
2040 W Vista St MO 65807,-93.320609,Springfield,MO,65807,Panera Bread,37.16522137
1570 W Battlefield St MO 65807,-93.3121,Springfield,MO,65807,Panera Bread,37.15996638
2924 W Sunshine St MO 65807,-93.336477,Springfield,MO,65807,Panera Bread,37.18256839
3837 S Campbell Ave MO 65807,-93.297069,Springfield,MO,65807,Panera Bread,37.14429840
4100 South Campbell Avenue MO 65807,-93.295309,Springfield,MO,65807,Panera Bread,37.14000341
2740 S Austin Ave MO 65807,-93.323257,Springfield,MO,65807,Panera Bread,37.16481542
2079 Zumbehl Road MO 63303,-90.535699,Saint Charles,MO,63303,Panera Bread,38.78398352
6185 Mid Rivers Mall Dr MO 63304,-90.634926,Saint Peters,MO,63304,Panera Bread,38.74239953
116 N 6th St MO 63101,-90.190806,Saint Louis,MO,63101,Panera Bread,38.62633856
2018 S 7th Street MO 63104,-90.202624,Saint Louis,MO,63104,Panera Bread,38.60661157
4561 Forest Park Ave MO 63108,-90.261171,Saint Louis,MO,63108,Panera Bread,38.63919458
4651 Maryland Ave MO 63108,-90.26099,Saint Louis,MO,63108,Panera Bread,38.64505559
6607 Chippewa St MO 63109,-90.305201,Saint Louis,MO,63109,Panera Bread,38.59125360
1008 Loughborough Avenue MO 63111,-90.26255,Saint Louis,MO,63111,Panera Bread,38.55644261
3114 S Grand Blvd MO 63118,-90.24196,Saint Louis,MO,63118,Panera Bread,38.60203662
290 Mid Rivers Mall Drive MO 63376,-90.622987,Saint Peters,MO,63376,Panera Bread,38.79364370
32nd & Range Line,-94.47894000000001,Joplin,MO,64804,Starbucks,37.0524270
Target Joplin T-774,-94.473855,Joplin,MO,64801,Starbucks,37.0852131
3rd & Range Line,-94.477036,Joplin,MO,64801,Starbucks,37.0880282
St. Louis Premium Outlets,-90.631922,Chesterfield,MO,63005,Starbucks,38.64413
Taylor & Manchester,-90.62803000000001,Wildwood,MO,63040,Starbucks,38.5821679999999964
